"PLAN","Levy","Application ID","Decision","Application Description","Short Description","locality","AssessedBy","DeterminedBy","ApprovalDate","ApprovalYear","Property_No","Purpose","BALANCE","LEVIED","PAID"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/1499","Approved","2 lot subdivision","2 lot subdivision","BANORA POINT","DevUnit",,,2006,"1017","Open Space","0","1571","1571"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA05/1511","Approved","three (3) lot subdivision","three (3) lot subdivision","BANORA POINT","DevUnit",,,2006,"4134","Open Space","0","1571","1571"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA06/1416","Approved","multi dwelling housing - eighteen (18) 1 bedroom units","multi dwelling housing - eighteen (18) 1 bedroom units","BANORA POINT","DevUnit",,,2007,"6775","Open Space","0","12029","19885"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA06/1442","Approved","extensions to existing nursing home facility","extensions to existing nursing home facility","BANORA POINT","DevUnit",,,2008,"1028","Open Space","0","21892","21892"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA07/0532","Approved","multi dwelling housing comprising 2 x 3 bedroom dwelling and 1 x 4 bedroom dwelling","multi dwelling housing comprising 2 x 3 bedroom dwelling and","TWEED HEADS SOUTH","DevUnit",,,2007,"1038","Open Space","0","2005","2005"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA07/0589","ApprovMin","DIPNR major project 06-0243 196 lot residential subdivision","DIPNR major project 06-0243 196 lot residential subdivision","TWEED HEADS SOUTH","DevUnit",,,2008,"6402","Open Space","0","1571","17281"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA07/1191","Approved","3 lot subdivision","3 lot subdivision","BANORA POINT","DevUnit",,,2008,"1034","Open Space","0","3142","3142"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA15/0175","Approved","four lot community title subdivision","four lot community title subdivision","BANORA POINT","DevUnit",,,2015,"4135","Open Space","0","2285","2285"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA15/0218","Approved","multi dwelling housing comprising 15 dwellings","multi dwelling housing comprising 15 dwellings","BANORA POINT","DevUnit",,,2015,"1085","Open Space","0","25664","25664"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA17/0358","Approved","manufactured home estate","manufactured home estate","TWEED HEADS SOUTH","DevUnit",,,2018,"9351","Open Space","0","161170","153538"
"S94-01","S94-01 - Casual Open Space (no dedication)","DA18/0527","Approved","detached dual occupancy","detached dual occupancy","BANORA POINT","DevUnit",,,2018,"7730","Open Space","0","1646","1646"
"S94-01","S94-01 - Casual Open Space (no dedication)","K98/0011","Approved","urban subdivision","urban subdivision","TWEED HEADS SOUTH","DevUnit",,,1998,"4133","Open Space","0","16912.8","14352.8"
"S94-01","S94-01 - Casual Open Space (no dedication)","K99/0165","Approved","application for 92 lot residential subdivision","application for 92 lot residential subdivision","BANORA POINT","DevUnit",,,2000,"5058","Open Space","0","0","1571"
"S94-01","S94-01 - Structured Open Space","0066/2001S96","Approved","amendment to Development Consent D94/0379 for the construction of 11 x 3 bedroom flats and 26 x 3 bedroom cluster homes","amendment to Development Consent D94/0379 for the constructi","BANORA POINT","DevUnit",,,2001,"4941","Open Space","0","14440","14442"
"S94-01","S94-01 - Structured Open Space","0111/2002DA","Approved","the erection of a detached dual occupancy","the erection of a detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5116","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","0140/2002DA","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","BANORA POINT","DevUnit",,,2002,"4292","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","0161/2002DA","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","BANORA POINT","DevUnit",,,2002,"4292","Open Space","0","2407","2407"
"S94-01","S94-01 - Structured Open Space","0175/2002DA","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","BANORA POINT","DevUnit",,,2002,"4292","Open Space","0","2407","2407"
