Account Number,Plan Description,Balance,Plan Description,Sector Description ,DataDate,Activity Description,Plan,Activity,Sector,Sector Desc
19.07.00,Kings Beach,-5042.83,19-Kings Beach,No Sector,26/08/2024,Footpath/Cycleway,19,07,00,No Sector
19.07.00,Kings Beach,-127234.45,19-Kings Beach,No Sector,26/08/2024,Footpath/Cycleway,19,07,00,No Sector
20.15.00,Seabreeze Estate,-34.01,20-Seabreeze Estate,No Sector,26/08/2024,Casual Open Space,20,15,00,No Sector
20.15.00,Seabreeze Estate,-857.92,20-Seabreeze Estate,No Sector,26/08/2024,Casual Open Space,20,15,00,No Sector
21.05.00,Terranora Village,0,21-Terranora Village,No Sector,26/08/2024,Open Space,21,05,00,No Sector
21.05.00,Terranora Village,0,21-Terranora Village,No Sector,26/08/2024,Open Space,21,05,00,No Sector
21.06.00,Terranora Village,0,21-Terranora Village,No Sector,26/08/2024,Community Facilities,21,06,00,No Sector
21.06.00,Terranora Village,0,21-Terranora Village,No Sector,26/08/2024,Community Facilities,21,06,00,No Sector
22.07.00,Shirewide Cycleways,-35290.23,22-Shirewide Cycleways,No Sector,26/08/2024,Footpath/Cycleway,22,07,00,No Sector
22.07.00,Shirewide Cycleways,-134303.31,22-Shirewide Cycleways,No Sector,26/08/2024,Footpath/Cycleway,22,07,00,No Sector
22.07.00,Shirewide Cycleways,6715.33,22-Shirewide Cycleways,No Sector,26/08/2024,Footpath/Cycleway,22,07,00,No Sector
22.07.00,Shirewide Cycleways,-828941.96,22-Shirewide Cycleways,No Sector,26/08/2024,Footpath/Cycleway,22,07,00,No Sector
23.04.00,Shirewide Carparking,-7252.92,23-Shirewide Carparking,No Sector,26/08/2024,Parking,23,04,00,No Sector
23.04.00,Shirewide Carparking,190248.92,23-Shirewide Carparking,No Sector,26/08/2024,Parking,23,04,00,No Sector
23.04.00,Shirewide Carparking,-182996,23-Shirewide Carparking,No Sector,26/08/2024,Parking,23,04,00,No Sector
23.04.01,Shirewide Carparking,-23333.62,23-Shirewide Carparking,Sector 1,26/08/2024,Parking,23,04,01,Sector 1
23.04.01,Shirewide Carparking,-31708.16,23-Shirewide Carparking,Sector 1,26/08/2024,Parking,23,04,01,Sector 1
23.04.01,Shirewide Carparking,-588725.31,23-Shirewide Carparking,Sector 1,26/08/2024,Parking,23,04,01,Sector 1
23.04.02,Shirewide Carparking,30158.11,23-Shirewide Carparking,Sector 2,26/08/2024,Parking,23,04,02,Sector 2
23.04.02,Shirewide Carparking,-31708.16,23-Shirewide Carparking,Sector 2,26/08/2024,Parking,23,04,02,Sector 2
23.04.02,Shirewide Carparking,68253.06,23-Shirewide Carparking,Sector 2,26/08/2024,Parking,23,04,02,Sector 2
23.04.02,Shirewide Carparking,760912.75,23-Shirewide Carparking,Sector 2,26/08/2024,Parking,23,04,02,Sector 2
23.04.03,Shirewide Carparking,-3401.55,23-Shirewide Carparking,Sector 3,26/08/2024,Parking,23,04,03,Sector 3
23.04.03,Shirewide Carparking,-31708.15,23-Shirewide Carparking,Sector 3,26/08/2024,Parking,23,04,03,Sector 3
23.04.03,Shirewide Carparking,-85823.77,23-Shirewide Carparking,Sector 3,26/08/2024,Parking,23,04,03,Sector 3
23.04.04,Shirewide Carparking,-36079.59,23-Shirewide Carparking,Sector 4,26/08/2024,Parking,23,04,04,Sector 4
