site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 601,ELANORA AVENUE at No 66,"-28.381845, 153.568882",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 601,Pottsville,RD.448.20.A,Elanora Avenue,Pottsville
Site 602,CRESCENT STREET at No 32,"-28.261407, 153.556782",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 602,Cudgen,RD.359.20.A,Crescent Street,Cudgen
Site 603,M.R.142 KYOGLE ROAD east of BYRRIL CREEK ROAD at No 2129,"-28.435554, 153.282585",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 603,Terragon,RD.711.200.A.1,Kyogle Road,Terragon
Site 604,M.R.142 KYOGLE ROAD 700 mts west of BYRRIL CREEK ROAD,"-28.442341, 153.283297",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 604,Terragon,RD.711.200.A.1,Kyogle Road,Terragon
Site 605,M.R.142 WOLLUMBIN STREET at No 1,"-28.327973, 153.398536",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 605,Murwillumbah,RD.1435.40.A,Wollumbin Street,Murwillumbah
Site 606,M.R.679 Tweed Valley Way at No 9345   OAKS AVENUE n/bound,"-28.262841, 153.518109",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 606,Chinderah,RD.2194.9420.A,Tweed Valley Way,Chinderah
Site 410,RIVERSIDE DRIVE off TWEED VALLEY WAY southern end,"-28.279599,153.461506",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 410,Tumbulgum,RD.1124.20.A,Riverside Drive,Tumbulgum
Site 607,M.R.679 Tweed Valley Way at No 9345   OAKS AVENUE s/bound,"-28.259691, 153.522875",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 607,Chinderah,RD.2194.9480.A,Tweed Valley Way,Chinderah
Site 608,MCPHAIL AVENUE at No 21,"-28.261561, 153.574145",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 608,Kingscliff,RD.809.30.A,McPhail Avenue,Kingscliff
Site 609B,MURPHYS ROAD at No 15,"-28.236844, 153.566072",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 609B,Kingscliff,RD.855.10.A,Murphys Road,Kingscliff
Site 611,EVIRON ROAD at No 631,"-28.311135, 153.498473",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 611,Eviron,RD.474.60.A,Eviron Road,Eviron
Site 612,SIMPSON  DRIVE at No 19,"-28.212629, 153.485114",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 612,Bilambil Heights,RD.1207.30.A,Simpson Drive,Bilambil Heights
Site 613,LENNOX  CIRCUIT at No 113,"-28.386219, 153.550073",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 613,Pottsville,RD.2352.10.A,Lennox Circuit,Pottsville
Site 614,MARINERS CRESCENT at No 49,"-28.235536, 153.538861",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 614,Banora Point,RD.779.20.A,Mariners Crescent,Banora Point
Site 615,OLD FERRY ROAD north of BOSUN BOULEVARD,"-28.234152, 153.541902",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 615,Banora Point,RD.913.30.C,Old Ferry Road,Banora Point
Site 616,LEISURE DRIVE west of FRASER DRIVE,"-28.213306, 153.521997",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 616,Banora Point,RD.734.85.B.1,Leisure Drive,Banora Point
