site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 681,MITCHELL STREET east of CHURCH HILL,"-28.414717, 153.336172",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 681,Uki,RD.834.10.A,Mitchell Street,Uki
Site 470,TUMBULGUM ROAD at No 37,"-28.325143,153.406371",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 470,Murwillumbah,RD.1334.40.A,Tumbulgum Road,Murwillumbah
Site 682,RICHARDS DEVIATION off TWEED VALLEY WAY,"-28.387903, 153.419042",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 682,Dunbible,RD.1112.10.A,Richards Deviation,Dunbible
Site 683B,FINGAL ROAD 20 metres north of No 63,"-28.204892, 153.565364",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 683B,Fingal,RD.493.60.A.1,Fingal Road,Fingal Head
Site 684,MOSS STREET at No 6-10 (No 12),"-28.259464, 153.581199",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 684,Kingscliff,RD.847.10.A,Moss Street,Kingscliff
Site 685,INLET DRIVE at No 48,"-28.194297, 153.504767",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 685,Tweed Heads West,RD.630.10.A,Inlet Drive,Tweed Heads West
Site 686,TULGI WAY 200mts north of CARRAMAR DRIVE,"-28.188059, 153.499705",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 686,Tweed Heads West,RD.2429.10.A,Tulgi Way,Tweed Heads West
Site 687B,M.R.679 Tweed Valley Way north of MINNIE PERKINS ROAD,"-28.361573, 153.409836",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 687B,Fernvale,RD.2194.9170.A,Tweed Valley Way,Fernvale
Site 688,M.R.679 Tweed Valley Way north of FERNVALE ROAD,"-28.364971, 153.411604",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 688,Fernvale,RD.2194.9170.A,Tweed Valley Way,Fernvale
Site 689B,M.R.679 Tweed Valley Way 600 mts north of HOWARDS ROAD,"-28.41584, 153.453151",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 689B,Burringbar,RD.2194.9080.A,Tweed Valley Way,Burringbar
Site 691,PARK STREET at No 9,"-28.17841, 153.537892",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 691,Tweed Heads,RD.994.10.A.1,Park Street,Tweed Heads
Site 480,UPPER CRYSTAL CREEK ROAD south of BOOKA ROAD,"-28.267978, 153.309375",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 480,Upper Crystal Creek,RD.1367.110.A,Upper Crystal Creek Road,Upper Crystal Creek
Site 692,DARLINGTON DRIVE at No 148,"-28.223369, 153.54089",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 692,Banora Point,RD.388.60.A,Darlington Drive,Banora Point
Site 693,BAKERS ROAD off M.R.142 KYOGLE ROAD at No 522,"-28.357063, 153.364307",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 693,Byangum,RD.57.50.A.1,Bakers Road,Byangum
Site 694,CLOTHIERS CREEK ROAD at No 1051,"-28.329661, 153.51475",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 694,Clothiers Creek,RD.279.70.A,Clothiers Creek Road,Clothiers Creek
Site 695,CLOTHIERS CREEK ROAD at No 1017,"-28.330341, 153.513825",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 695,Clothiers Creek,RD.279.70.A,Clothiers Creek Road,Clothiers Creek
Site 696A,M.R.679 Tweed Valley Way 200mts sth of nthrn RIVERSIDE DRIVE entrance N/bound,"-28.273074, 153.466372",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 696A,Tumbulgum,RD.2194.9330.A,Tweed Valley Way,Tumbulgum
Site 697,PIONEER PARADE at No 130,"-28.226159, 153.543034",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 697,Banora Point,RD.1044.20.A,Pioneer Parade,Banora Point
Site 698,ENID STREET at No 31,"-28.17386, 153.540294",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 698,Tweed Heads,RD.463.10.A.1,Enid Street,Tweed Heads
Site 699,ROUS RIVER WAY outside No 24 SILKPOD AVENUE,"-28.325796, 153.380135",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 699,Murwillumbah,RD.2400.30.A,Rous River Way,Murwillumbah
Site 490,WARDROP VALLEY ROAD off LUNDBERG DRIVE,"-28.338949, 153.419829",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 490,South Murwillumbah,RD.1400.80.A,Wardrop Valley Road,Wardrop Valley
Site 702,CUDGEN ROAD west of PLANTATION ROAD,"-28.274476, 153.543748",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 702,Stotts Creek,RD.365.100.A,Cudgen Road,Cudgen
Site 703,DARLINGTON DRIVE 50 metres south of LEISURE/DARLINGTON DRIVES,"-28.21298, 153.533908",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 703,Banora Point,RD.388.120.A,Darlington Drive,Banora Point
Site 704,GOLLAN DRIVE at No 8,"-28.191532, 153.507831",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 704,Tweed Heads West,RD.547.30.A,Gollan Drive,Tweed Heads West
Site 705,HILL STREET at No 14,"-28.167072, 153.549091",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 705,Tweed Heads,RD.600.10.A.1,Hill Street,Tweed Heads
Site 706,HARWARD STREET off WILLIAM STREET,"-28.327772, 153.386998",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 706,Murwillumbah,RD.581.20.A,Harwood Street,Murwillumbah
Site 707,KENT STREET south of MURRABA CRESCENT,"-28.176608, 153.532189",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 707,Tweed Heads,RD.677.10.A,Kent Street,Tweed Heads
Site 708,M.R.142 KYOGLE ROAD east of CLARRIE HALL DAM ROAD,"-28.428402, 153.316784",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 708,Uki,RD.711.225.A,Kyogle Road,Uki
Site 709A,PHILIP STREET POTTSVILLE off TWEED COAST ROAD,"-28.391149, 153.565032",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 709A,Pottsville,RD.932.10.A.1,Overall Drive,Pottsville
Site 712,URLIUP ROAD at No 393,"-28.23941, 153.434698",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 712,Urliup,RD.1371.70.A,Urliup Road,Bilambil
Site 500,WHARF STREET north of FRANCES STREETS,"-28.171835, 153.543238",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 500,Tweed Heads,RD.1422.60.B,Wharf Street,Tweed Heads
Site 713,VIKING STREET at No 35,"-28.260939, 153.576028",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 713,Kingscliff,RD.1380.10,Viking Street,Kingscliff
Site 714,STEEP STREET east of ADELAIDE STREET,"-28.178828, 153.537181",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 714,Tweed Heads,RD.1238.10.A,Steep Street,Tweed Heads
Site 715,DULGUIGAN ROAD just east of QUARRY ACCESS,"-28.279605, 153.437859",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 715,Dulguigan,RD.422.150.A,Dulguigan Road,Dulguigan
Site 716C,ENTERPRISE AVENUE south of TRADER WAY,"-28.20442, 153.534527",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 716C,Tweed Heads,RD.464.20.A,Enterprise Avenue,Tweed Heads South
Site 717,LORIEN WAY at No 3,"-28.250973, 153.565484",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 717,Kingscliff,RD.458.40.A,Elrond Drive,Kingscliff
Site 718,INLET DRIVE at No 11,"-28.19133, 153.506312",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 718,Tweed Heads West,RD.630.10.A,Inlet Drive,Tweed Heads West
Site 719,INLET DRIVE at No 30,"-28.192497, 153.505543",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 719,Tweed Heads West,RD.630.10.A,Inlet Drive,Tweed Heads West
Site 722,PANORAMA DRIVE at No 68,"-28.193324, 153.504171",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 722,Tweed Heads West,RD.991.40.A,Panorama Drive,Tweed Heads West
Site 723,PANORAMA DRIVE at No 82,"-28.192141, 153.504339",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 723,Tweed Heads West,RD.991.50.A,Panorama Drive,Tweed Heads West
Site 510,WOMMIN BAY ROAD east of SAND STREET Special,"-28.238222, 153.564488",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 510,Kingscliff,RD.1437.20.A.1,Wommin Bay Road,Kingscliff
Site 724,FARRANTS ROAD at No 119,"-28.31627, 153.478515",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 724,Farrants Hill,RD.483.40.A,Farrants Road,Eviron
Site 725,NORTH ARM ROAD west of SCHOOL ROUNDABOUT,"-28.334692, 153.361956",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 725,Murwillumbah,RD.883.40.A,North Arm Road,Murwillumbah
Site 726,NORTH ARM ROAD east of SCHOOL DROP OFF BAY,"-28.33522, 153.36357",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 726,Murwillumbah,RD.883.30.A,North Arm Road,Murwillumbah
Site 727,NORTH ARM ROAD east of OLD LISMORE ROAD,"-28.337001, 153.365841",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 727,Murwillumbah,RD.883.30.A,North Arm Road,Murwillumbah
Site 728,TOM MERCHANT DRIVE,"-28.383835, 153.554675",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 728,Pottsville,RD.2417.10.A,Tom Merchant Drive,Pottsville
Site 729,BILAMBIL ROAD south of SCHOOL CROSSING,"-28.222811, 153.458876",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 729,Carool,RD.220.10.A,Carool Road,Bilambil
Site 731,CASUARINA WAY at No 598,"-28.30483, 153.57094",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 731,Casuarina,RD.233.50.A,Casuarina Way,Casuarina
Site 516B,ZARA ROAD west of CHILLINGHAM,"-28.313921,153.272705",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 516B,Zara,RD.1463.10.A,Zara Road,Zara
Site 732B,M.R.450 COAST ROAD 130mts north of Sandlewood Drive,"-28.340291, 153.572088",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 732B,Cabarita Beach,RD.2184.230.A.1,Tweed Coast Road,Cabarita Beach
Site 733,BRISBANE STREET south of WOLLUMBIN STREET,"-28.327747, 153.39573",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 733,Murwillumbah,RD.170.30.A.1,Brisbane Street,Murwillumbah
Site 734,SECOND AVENUE at No 9,"-28.183803, 153.534384",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 734,Tweed Heads,RD.1181.10.A,Second Avenue,Tweed Heads
Site 520,M.R.679 Tweed Valley Way at No 508,"-28.345207,153.401141",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 520,South Murwillumbah,RD.2194.9195.A,Tweed Valley Way,South Murwillumbah
Site 735,M.R.450 CORONATION AVENUE at No 37,"-28.389759, 153.560646",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 735,Pottsville,RD.339.10.A,Coronation Avenue,Pottsville
Site 736A,M.R.541 TERRANORA ROAD 330metres south of BALFOURS ROAD,"-28.251039, 153.477153",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 736A,Bungalora,RD.1277.200.A,Terranora Road,Bungalora
Site 737,M.R.541 TERRANORA ROAD at No 410,"-28.236049, 153.518387",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 737,Banora Point,RD.1277.90.A,Terranora Road,Terranora
Site 738,BRISBANE STREET north of KING STREET,"-28.328505, 153.395611",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 738,Murwillumbah,RD.170.30.A.1,Brisbane Street,Murwillumbah
Site 739,BRISBANE STREET BUS BAY LANE ONLY,"-28.328108, 153.395548",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 739,Murwillumbah,RD.170.30.A.1,Brisbane Street,Murwillumbah
Site 741,TOMBONDA ROAD at No 45,"-28.334697, 153.373393",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 741,Murwillumbah,RD.350.10.A,Countryside Drive,Murwillumbah
Site 742,CALOOLA DRIVE at No 28,"-28.177426, 153.526274",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 742,Tweed Heads,RD.206.50.A,Caloola Drive,Tweed Heads
Site 743,KURRAJONG PLACE at No 37,"-28.333488, 153.564798",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 743,Bogangar,RD.709.20.A,Kurrajong Avenue,Bogangar
Site 530,STRADBROKE DRIVE at No 4,"-28.209767, 153.524374",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 530,Tweed Heads South,RD.1246.10.A,Stradbroke Drive,Banora Point
Site 744,M.R.541 TERRANORA ROAD at No 392,"-28.235896, 153.520527",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 744,Banora Point,RD.1277.90.A,Terranora Road,Terranora
Site 745,M.R.541 TERRANORA ROAD at No 780/No 772,"-28.246475, 153.488794",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 745,North Tumbulgum,RD.1277.170.A,Terranora Road,Terranora
Site 532A,MURWILLUMBAH STREET at No 147,"-28.325986,153.392837",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 532A,Murwillumbah,RD.857.40.A.1,Murwillumbah Street,Murwillumbah
Site 746A,CREEK STREET at No19,"-28.356605, 153.571349",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 746A,Hastings Point,RD.358.20.A,Creek Street,Hastings Point
Site 747,LEISURE DRIVE at No 57-59,"-28.213661, 153.537396",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 747,Banora Point,RD.734.20.A,Leisure Drive,Banora Point
Site 748,M.R.541 TERRANORA ROAD just north of  TUMBULGUM BRIDGE,"-28.269629, 153.468253",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 748,North Tumbulgum,RD.1277.280.A,Terranora Road,North Tumbulgum
Site 749,DARLINGTON DRIVE at No 220,"-28.22632, 153.536563",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 749,Banora Point,RD.388.90.A,Darlington Drive,Banora Point
Site 751,M.R.450 COAST ROAD at No 38 CABARITA BEACH,"-28.332024, 153.569586",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 751,Bogangar,RD.2184.240.A,Tweed Coast Road,Cabarita Beach
Site 752,M.R.450 COAST ROAD at No 57 CABARITA BEACH,"-28.333005, 153.570254",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 752,Bogangar,RD.2184.235.A,Tweed Coast Road,Cabarita Beach
Site 753,ENID STREET at No 38,"-28.174339, 153.540103",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 753,Tweed Heads,RD.463.10.A.1,Enid Street,Tweed Heads
Site 754,CUDGEN ROAD above Motorway,"-28.279587, 153.520086",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 754,Stotts Creek,RD.365.140.A,Cudgen Road,Stotts Creek
Site 540,BURRINGBAR ROAD at No 363,"-28.443599,153.441515",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 540,Upper Burringbar,RD.189.90.A,Burringbar Road,Upper Burringbar
Site 755,M.R.541 TERRANORA ROAD at No 470,"-28.238839, 153.513375",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 755,Banora Point,RD.1277.100.A,Terranora Road,Terranora
Site 756,TYALGUM ROAD west of SHARPS ROAD,"-28.350256, 153.336449",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 756,Eungella,RD.1357.80.A,Tyalgum Road,Eungella
Site 757,M.R.142 KYOGLE ROAD north of SMITHS CREEK ROAD (west of Braeside Dr),"-28.410783, 153.338957",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 757,Uki,RD.711.305.A,Kyogle Road,Uki
Site 778,M.R.679 Tweed Valley Way at No 8450,"-28.294202, 153.459437",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 778,Eviron,RD.2194.9315.A,Tweed Valley Way,Tumbulgum
Site 550,TAMARIND AVENUE at No1,"-28.328718, 153.567925",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 550,Bogangar,RD.1263.10.A,Tamarind Avenue,Bogangar
Site 552A,BANKS AVENUE at No 8,"-28.178908,153.546401",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 552A,Tweed Heads,RD.71.20.A,Banks Avenue,Tweed Heads
Site 560,KEITH COMPTON DRIVE at No 88,"-28.181565, 153.545671",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 560,Tweed Heads,RD.669.55.A,Keith Compton Drive,Tweed Heads
Site 0,Location for documents and reports which don't have site numbers,,https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 0,,,,
Site 680,M.R.450 Coast Road 70 meters north of Tamarind Avenue (also 14 Cabarita),"-28.328183,153.568586",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 680,Bogangar,RD.2184.245.A,Tweed Coast Road,Cabarita Beach
Site 567A,M.R.450 CORONATION AVENUE at No 20,"-28.389833,153.562555",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 567A,Pottsville,RD.339.15.A,Coronation Avenue,Pottsville
Site 623A,DARLINGTON DRIVE at No 160,"-28.224364,153.540456",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 623A,Banora Point,RD.388.60.A,Darlington Drive,Banora Point
Site 609A,ROUND MOUNTAIN ROAD at No 229,"-28.359415,153.553221",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 609A,Bogangar,RD.1145.40.A,Round Mountain Road,Round Mountain
Site 620A,POTTSVILLE ROAD at No 943,"-28.392754,153.541002",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 620A,Cudgera Creek,RD.1058.150.A,Pottsville Road,Cudgera Creek
Site 620B,NULLUM STREET at No 8,"-28.326841,153.393574",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 620B,Murwillumbah,RD.888.10.A,Nullum Street,Murwillumbah
Site 570,CANE ROAD 200mts east of RACECOURSE ROAD,"-28.309759,153.413156",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 570,Tygalgah,RD.211.50.A,Cane Road,Tygalgah
Site 574B,PIONEER PARADE at No 101,"-28.223546,153.544213",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 574B,Banora Point,RD.1044.20.A,Pioneer Parade,Banora Point
Site 571A,KANES ROAD east of HIGHWAY CROSSING BRIDGE,"-28.37331,153.525227",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 571A,Cudgera Creek,RD.660.10.A,Kanes Road,Round Mountain
Site 599B,M.R.679 Tweed Valley Way north of CLOTHIERS CREEK ROAD,"-28.310408,153.436578",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 599B,Condong,RD.2194.9300.A,Tweed Valley Way,Condong
Site 624B,M.R.541 TERRANORA ROAD 300 metres north of COOKWOOD DRIVE,"-28.260021,153.471922",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 624B,North Tumbulgum,RD.1277.240.A,Terranora Road,North Tumbulgum
Site 663B,BARREL STREET at No 26,"-28.278827,153.576929",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 663B,Salt,RD.2291.20.A,Barrel Street,Kingscliff
Site 663C,HEFFRON STREET west of SEYMOUR STREET,"-28.194598,153.53939",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 663C,Tweed Heads,RD.589.30.A,Heffron Street,Tweed Heads South
Site 574A,PIONEER PARADE at No 92,"-28.22199,153.545041",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 574A,Banora Point,RD.1044.40.A,Pioneer Parade,Banora Point
Site 664A,CLOTHIERS CREEK ROAD 60 mts west of No 575,"-28.331055,153.476214",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 664A,Clothiers Creek,RD.279.110.A,Clothiers Creek Road,Clothiers Creek
Site 664C,MARINE PARADE at No 272,"-28.239718,153.567239",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 664C,Kingscliff,RD.777.80.A,Marine Parade,Kingscliff
Site 671A,TYALGUM ROAD at No 526,"-28.352575,153.318058",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 671A,Eungella,RD.1357.100.A,Tyalgum Road,Eungella
Site 673A,MCLEOD STREET at No 84,"-28.309529,153.43483",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 673A,Condong,RD.807.40.A,McLeod Street,Condong
Site 676B,CASSIA CRESCENT at No 9,"-28.217713,153.5237",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 676B,Banora Point,RD.228.10.A,Cassia Crescent,Banora Point
Site 677B,EDWARD AVENUE POTTSVILLE at No 2,"-28.402502,153.559172",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 677B,Pottsville,RD.446.10.A,Edward Avenue,Pottsville
Site 678A,SMITHS CREEK RD at No 809,"-28.416042,153.403093",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 678A,Stokers Siding,RD.1216.30.A,Smiths Creek Road,Stokers Siding
Site 678B,EMPIRE LANE west of BERYL STREET,"-28.17166,153.54174",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 678B,Tweed Heads,RD.1682.10.A,Empire Lane,Tweed Heads
Site 683A,COLLIER STREET at No 12,"-28.262809,153.556208",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 683A,Cudgen,RD.313.20.A,Collier Street,Cudgen
Site 687A,SEABREEZE BOULEVARD west of BALLINA STREET,"-28.38584,153.552184",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 687A,Pottsville,RD.2206.50.A,Seabreeze Boulevard,Pottsville
Site 580,OXLEY STREET off KIRKWOOD ROAD (ARKINSTALL PARK),"-28.19722,153.538323",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 580,Tweed Heads,RD.936.10.A.1,Oxley Street,Tweed Heads South
Site 689A,ELISTON STREET at No 7,"-28.272134,153.577903",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 689A,Salt,RD.2254.10.A,Elliston Street,Kingscliff
Site 696B,M.R.679 Tweed Valley Way 200mts south of northern RIVERSIDE DRIVE entrance,"-28.273074,153.466372",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 696B,Tumbulgum,RD.2194.9330.A,Tweed Valley Way,Tumbulgum
Site 709B,MCPHAIL AVENUE at No 18,"-28.260807,153.575222",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 709B,Kingscliff,RD.809.20.A,McPhail Avenue,Kingscliff
Site 716A,DULGUIGAN ROAD just west of QUARRY ACCESS,"-28.280295,153.436567",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 716A,Dulguigan,RD.422.150.A,Dulguigan Road,Dulguigan
Site 716B,TRADERS WAY off GREENWAY DRIVE,"-28.203948,153.535147",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 716B,Tweed Heads,RD.1322.10.A,Traders Way,Tweed Heads South
Site 732A,BALMORAL STREET at No 14,"-28.401295,153.560615",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 732A,Pottsville,RD.66.10.A,Balmoral Street,Pottsville
Site 736B,SEAVIEW STREET at No 20,"-28.258305,153.577838",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 736B,Kingscliff,RD.1179.20.A,Seaview Street,Kingscliff
Site 746B,MOOBALL STREET at No 6,"-28.321476,153.397757",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 746B,Murwillumbah,RD.840.10.A,Mooball Street,Murwillumbah
Site 590,SAND STREET at No 3,"-28.240548,153.563167",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 590,Kingscliff,RD.1157.40.A,Sand Street,Kingscliff
Site 598A,HOLDEN STREET at No 2,"-28.192661,153.531382",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 598A,Tweed Heads,RD.609.10.A,Holden Street,Tweed Heads South
Site 593B,PIGGABEEN RD at No 15,"-28.189956,153.504298",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 593B,Tweed Heads West,RD.1032.20.A.1,Piggabeen Road,Tweed Heads West
Site 658A,TYALGUM ROAD at No 797,"-28.35253,153.289814",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 658A,Eungella,RD.1357.140.A.1,Tyalgum Road,Eungella
Site 750,NULLUM LANE behind Sikh Temple,"-28.329065,153.392511",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 750,Murwillumbah,RD.1891.30.A,Nullum Lane,Murwillumbah
Site 600,MAIN ROAD at No 36,"-28.199646, 153.565611",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 600,Fingal,RD.763.10.A,Main Road,Fingal Head
