PLAN,DESCRIPTION,APPLICATION_REFERENCE,APPLICATION_NO,chargeAcPrefix,chargeAc,chargeAmount,VALUEFIRST,VALUEFIRST_LABEL,VALUE1_LABEL,VALUE1,VALUE2_LABEL,VALUE2,VALUE3_LABEL,VALUE3,VALUE4_LABEL,VALUE4,LikelyExpired,PROPERTY_NO,Purpose,transAcPrefix,transAc,transAmount
S94-05,S94-05 - Casual Open Space (Local),DA05/0607,423288,ZFRI,ZFRInfrastructure,2602,16.614,ET (Structured),ET (Structured),16.614,ET (Casual),15.581,,,,,Expired,17318,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0633,423535,ZFRI,ZFRInfrastructure,1052,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,3292,Open Space,ZFDC,ZFDCCasualOS_5,-526
S94-05,S94-05 - Casual Open Space (Local),DA05/0655,423814,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,34539,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/0658,423823,ZFRI,ZFRInfrastructure,916,5.4994,ET (Structured),ET (Structured),5.4994,ET (Casual),5.4851,,,,,Expired,14899,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0737,424395,ZFRI,ZFRInfrastructure,378,2.2692,ET (Structured),ET (Structured),2.2692,ET (Casual),2.2635,,,,,Expired,1747,Open Space,ZFDC,ZFDCCasualOS_5,-378
S94-05,S94-05 - Casual Open Space (Local),DA05/0746,424462,ZFRI,ZFRInfrastructure,269,1.6152,ET (Structured),ET (Structured),1.6152,ET (Casual),1.6108,,,,,Expired,16653,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/0810,424820,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,39625,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA05/0839,424995,ZFRI,ZFRInfrastructure,3324,2.9228,ET (Structured),ET (Structured),2.9228,ET (Casual),2.9162,,,,,Expired,13283,Open Space,ZFDC,ZFDCCasualOS_5,-1662
S94-05,S94-05 - Casual Open Space (Local),DA05/0844,425039,ZFRI,ZFRInfrastructure,524342,43.86,ET (Structured),ET (Structured),43.86,ET (Casual),36.264,,,,,Expired,1044,Open Space,ZFDC,ZFDCCasualOS_5,-90248
S94-05,S94-05 - Casual Open Space (Local),DA05/0870,425456,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,17179,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/0890,425670,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,18186,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA05/0902,425814,ZFRI,ZFRInfrastructure,3576,7.1532,ET (Structured),ET (Structured),7.1532,ET (Casual),7.1378,,,,,Expired,8515,Open Space,ZFDC,ZFDCCasualOS_5,-3976
S94-05,S94-05 - Casual Open Space (Local),DA05/0904,425825,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3076,,,,,Expired,32366,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA05/1013,427479,ZFRI,ZFRInfrastructure,2104,2,ET (Structured),ET (Structured),2,ET (Casual),2,,,,,Expired,17888,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/1126,428899,ZFRI,ZFRInfrastructure,865,5.1918,ET (Structured),ET (Structured),5.1918,ET (Casual),5.1797,,,,,Expired,12548,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/1129,428956,ZFRI,ZFRInfrastructure,487,2.9228,ET (Structured),ET (Structured),2.9228,ET (Casual),2.9162,,,,,Expired,13588,Open Space,ZFDC,ZFDCCasualOS_5,-487
S94-05,S94-05 - Casual Open Space (Local),DA05/1141,429069,ZFRI,ZFRInfrastructure,705,4.2304,ET (Structured),ET (Structured),4.2304,ET (Casual),4.2216,,,,,Expired,42909,Open Space,ZFDC,ZFDCCasualOS_5,-705
S94-05,S94-05 - Casual Open Space (Local),DA05/1148,429150,ZFRI,ZFRInfrastructure,160,0.9614,ET (Structured),ET (Structured),0.9614,ET (Casual),0.9581,,,,,Expired,96,Open Space,ZFDC,ZFDCCasualOS_5,-160
S94-05,S94-05 - Casual Open Space (Local),DA05/1167,429317,ZFRI,ZFRInfrastructure,63,,ET (Structured),ET (Structured),,ET (Casual),0.38,,,,,Expired,10136,Open Space,ZFDC,ZFDCCasualOS_5,-63
S94-05,S94-05 - Casual Open Space (Local),DA05/1280,430376,ZFRI,ZFRInfrastructure,1578,2,ET (Structured),ET (Structured),2,ET (Casual),2,,,,,Expired,63880,Open Space,ZFDC,ZFDCCasualOS_5,-693
S94-05,S94-05 - Casual Open Space (Local),DA05/1286,430448,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,80070,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/1299,430586,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,80830,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/1304,430649,ZFRI,ZFRInfrastructure,102,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,85670,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/1307,430673,ZFRI,ZFRInfrastructure,1052,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,27282,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA05/1309,430716,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,101836,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/1367,431529,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,29270,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA05/1371,431580,ZFRI,ZFRInfrastructure,334,2,ET (Structured),ET (Structured),2,ET (Casual),2,,,,,Expired,9626,Open Space,ZFDC,ZFDCCasualOS_5,-334
S94-05,S94-05 - Casual Open Space (Local),DA05/1408,431945,ZFRI,ZFRInfrastructure,872,2.6152,ET (Structured),ET (Structured),2.6152,ET (Casual),2.6108,,,,,Expired,23132,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA06/0069,434803,ZFRI,ZFRInfrastructure,3862,3.5766,ET (Structured),ET (Structured),3.5766,ET (Casual),3.6717,,,,,Expired,16084,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA06/0094,435080,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,39929,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA06/0099,435144,ZFRI,ZFRInfrastructure,269,1.6152,ET (Structured),ET (Structured),1.6152,ET (Casual),1.6108,,,,,Expired,1197,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA06/0126,435575,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,11684,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA06/0206,436532,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,18732,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA06/0231,436990,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,578,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA06/0238,437078,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,92330,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA06/0263,437451,ZFRI,ZFRInfrastructure,334,2,ET (Structured),ET (Structured),2,ET (Casual),2,,,,,Expired,42961,Open Space,ZFDC,ZFDCCasualOS_5,-334
