FORMAT XLONE REPORT,DefnSheetName=Report Set Up,,,,,,,,,
h.SET,,,,,,,,,,
*,Account Number,Balance,Plan Description,Activity Description,Plan,Activity,Sector,Plan-Plan Description,DataDate,
LIST,15.06,-8513.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1000.35,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1229.14,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1176.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-34881.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-208.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-12873.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-4153.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-365.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1176.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,365.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-4983.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-4568.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1246.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-2492.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-277.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1661.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-4983.00,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1461.26,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-2214436.11,Community Facilities,Community Facilities,15,06,No Sector,15-Community Facilities,44609.00,
LIST,15.06,-1184021.55,Community Facilities,Community Facilities,15,06,Sector 1 - Tweed Heads,15-Community Facilities,44609.00,
LIST,15.06,414000.52,Community Facilities,Community Facilities,15,06,Sector 2 - Murwillumbah,15-Community Facilities,44609.00,
LIST,16.12,-1243.00,Surf Lifesaving,Surf Lifesaving,16,12,No Sector,16-Surf Lifesaving,44609.00,
